Region,Block,Management,Site,Transect,Year,damsel,wrasse,parrotfish,grouper
A,Block 1,a,Site 1,Transect 3,2009,23,0,34,3
A,Block 1,a,Site 1,Transect 3,2010,0,34,25,0
A,Block 1,a,Site 1,Transect 3,2011,27,0,28,1
A,Block 1,a,Site 1,Transect 3,2012,26,0,31,0
A,Block 1,a,Site 1,Transect 3,2013,27,0,29,0
A,Block 1,a,Site 1,Transect 3,2014,0,0,40,1
A,Block 1,a,Site 2,Transect 1,2000,0,0,46,1
A,Block 1,a,Site 2,Transect 1,2001,18,25,37,0
A,Block 1,a,Site 2,Transect 1,2002,24,22,37,0
A,Block 1,a,Site 2,Transect 1,2003,17,0,32,0
A,Block 1,a,Site 2,Transect 1,2004,7,0,39,2
A,Block 1,a,Site 2,Transect 1,2005,8,0,56,0
A,Block 1,a,Site 2,Transect 1,2006,10,20,55,0
A,Block 1,a,Site 2,Transect 1,2007,0,0,34,1
A,Block 1,a,Site 2,Transect 1,2008,19,0,51,0
A,Block 1,a,Site 2,Transect 1,2009,0,0,36,0
A,Block 1,a,Site 2,Transect 1,2010,0,0,0,0
A,Block 1,a,Site 2,Transect 1,2011,0,0,43,0
A,Block 1,a,Site 2,Transect 1,2012,27,0,41,1
A,Block 1,a,Site 2,Transect 1,2013,24,21,33,0
A,Block 1,a,Site 2,Transect 1,2014,8,0,43,0
A,Block 1,a,Site 2,Transect 2,2000,26,0,27,0
A,Block 1,a,Site 2,Transect 2,2001,0,0,37,1
A,Block 1,a,Site 2,Transect 2,2002,13,0,41,0
A,Block 1,a,Site 2,Transect 2,2003,0,14,47,2
A,Block 1,a,Site 2,Transect 2,2004,11,0,44,1
A,Block 1,a,Site 2,Transect 2,2005,8,14,0,0
A,Block 1,a,Site 2,Transect 2,2006,9,15,0,3
A,Block 1,a,Site 2,Transect 2,2007,0,0,44,1
A,Block 1,a,Site 2,Transect 2,2008,0,0,40,3
A,Block 1,a,Site 2,Transect 2,2009,18,0,29,0
A,Block 1,a,Site 2,Transect 2,2010,0,30,NA,7
A,Block 1,a,Site 2,Transect 2,2011,21,0,40,0
A,Block 1,a,Site 2,Transect 2,2012,0,0,45,0
A,Block 1,a,Site 2,Transect 2,2013,12,21,37,1
A,Block 1,a,Site 2,Transect 2,2014,12,0,46,0
A,Block 1,a,Site 2,Transect 3,2000,21,0,25,0
A,Block 1,a,Site 2,Transect 3,2001,39,0,29,0
A,Block 1,a,Site 2,Transect 3,2002,0,0,29,0
A,Block 1,a,Site 2,Transect 3,2003,0,0,34,1
A,Block 1,a,Site 2,Transect 3,2004,21,0,37,0
A,Block 1,a,Site 2,Transect 3,2005,11,0,34,2
A,Block 1,a,Site 2,Transect 3,2006,29,32,0,0
A,Block 1,a,Site 2,Transect 3,2007,0,29,31,0
A,Block 1,a,Site 2,Transect 3,2008,31,27,24,0
A,Block 1,a,Site 2,Transect 3,2009,31,32,29,0
A,Block 1,a,Site 2,Transect 3,2010,22,29,26,3
A,Block 1,a,Site 2,Transect 3,2011,26,32,0,2
A,Block 1,a,Site 2,Transect 3,2012,26,35,40,0
A,Block 1,a,Site 2,Transect 3,2013,0,0,0,0
A,Block 1,a,Site 2,Transect 3,2014,0,28,36,0
A,Block 1,b,Site 1,Transect 1,2000,0,0,0,0
A,Block 1,b,Site 1,Transect 1,2001,16,0,32,0
A,Block 1,b,Site 1,Transect 1,2002,0,0,34,0
A,Block 1,b,Site 1,Transect 1,2003,0,25,40,0
A,Block 1,b,Site 1,Transect 1,2004,17,0,37,0
A,Block 1,b,Site 1,Transect 1,2005,0,11,35,0
A,Block 1,b,Site 1,Transect 1,2006,30,0,23,0
A,Block 1,b,Site 1,Transect 1,2007,39,30,26,4
A,Block 1,b,Site 1,Transect 1,2008,29,31,29,0
A,Block 1,b,Site 1,Transect 1,2009,0,43,NA,0
A,Block 1,b,Site 1,Transect 1,2010,0,0,14,0
A,Block 1,b,Site 1,Transect 1,2011,34,0,26,4
A,Block 1,b,Site 1,Transect 1,2012,0,0,0,1
A,Block 1,b,Site 1,Transect 1,2013,27,28,30,0
A,Block 1,b,Site 1,Transect 1,2014,0,28,29,0
A,Block 1,b,Site 1,Transect 2,2000,19,0,0,1
A,Block 1,b,Site 1,Transect 2,2001,0,0,53,0
A,Block 1,b,Site 1,Transect 2,2002,8,7,43,0
A,Block 1,b,Site 1,Transect 2,2003,6,7,41,0
A,Block 1,b,Site 1,Transect 2,2004,0,5,55,0
A,Block 1,b,Site 1,Transect 2,2005,0,10,46,4
A,Block 1,b,Site 1,Transect 2,2006,13,0,38,0
A,Block 1,b,Site 1,Transect 2,2007,0,0,0,0
A,Block 1,b,Site 1,Transect 2,2008,14,0,46,0
A,Block 1,b,Site 1,Transect 2,2009,0,0,24,1
A,Block 1,b,Site 1,Transect 2,2010,27,0,28,0
A,Block 1,b,Site 1,Transect 2,2011,26,0,0,0
A,Block 1,b,Site 1,Transect 2,2012,0,0,44,0
A,Block 1,b,Site 1,Transect 2,2013,23,0,35,0
A,Block 1,b,Site 1,Transect 2,2014,0,0,38,2
A,Block 1,b,Site 1,Transect 3,2000,32,31,26,0
A,Block 1,b,Site 1,Transect 3,2001,NA,0,32,1
A,Block 1,b,Site 1,Transect 3,2002,24,0,28,0
A,Block 1,b,Site 1,Transect 3,2003,15,15,27,0
A,Block 1,b,Site 1,Transect 3,2004,23,8,44,0
A,Block 1,b,Site 1,Transect 3,2005,0,24,37,0
A,Block 1,b,Site 1,Transect 3,2006,36,25,0,0
A,Block 1,b,Site 1,Transect 3,2007,32,0,23,9
A,Block 1,b,Site 1,Transect 3,2008,35,0,20,0
A,Block 1,b,Site 1,Transect 3,2009,0,31,23,0
A,Block 1,b,Site 1,Transect 3,2010,0,0,16,0
A,Block 1,b,Site 1,Transect 3,2011,31,34,30,0
A,Block 1,b,Site 1,Transect 3,2012,31,0,32,0
A,Block 1,b,Site 1,Transect 3,2013,0,0,21,0
A,Block 1,b,Site 1,Transect 3,2014,0,32,0,0
A,Block 1,b,Site 2,Transect 1,2000,25,20,41,0
A,Block 1,b,Site 2,Transect 1,2001,16,0,36,0
A,Block 1,b,Site 2,Transect 1,2002,12,0,29,3
A,Block 1,b,Site 2,Transect 1,2003,16,13,52,0
A,Block 1,b,Site 2,Transect 1,2004,0,0,52,1
A,Block 1,b,Site 2,Transect 1,2005,0,0,36,0
A,Block 1,b,Site 2,Transect 1,2006,21,0,21,6
A,Block 1,b,Site 2,Transect 1,2007,0,0,24,0
A,Block 1,b,Site 2,Transect 1,2008,32,21,29,0
A,Block 1,b,Site 2,Transect 1,2009,0,34,29,5
A,Block 1,b,Site 2,Transect 1,2010,0,0,28,0
A,Block 1,b,Site 2,Transect 1,2011,25,0,28,2
A,Block 1,b,Site 2,Transect 1,2012,0,0,24,0
A,Block 1,b,Site 2,Transect 1,2013,0,NA,27,0
A,Block 1,b,Site 2,Transect 1,2014,22,22,26,0
A,Block 1,b,Site 2,Transect 2,2000,0,19,28,0
A,Block 1,b,Site 2,Transect 2,2001,NA,25,0,6
A,Block 1,b,Site 2,Transect 2,2002,0,13,0,0
A,Block 1,b,Site 2,Transect 2,2003,0,0,49,0
A,Block 1,b,Site 2,Transect 2,2004,11,12,46,1
A,Block 1,b,Site 2,Transect 2,2005,0,0,55,0
A,Block 1,b,Site 2,Transect 2,2006,0,33,0,2
A,Block 1,b,Site 2,Transect 2,2007,27,0,31,0
A,Block 1,b,Site 2,Transect 2,2008,46,0,26,2
A,Block 1,b,Site 2,Transect 2,2009,0,0,32,2
A,Block 1,b,Site 2,Transect 2,2010,32,0,30,5
A,Block 1,b,Site 2,Transect 2,2011,0,0,21,0
A,Block 1,b,Site 2,Transect 2,2012,26,21,43,2
A,Block 1,b,Site 2,Transect 2,2013,27,0,30,0
A,Block 1,b,Site 2,Transect 2,2014,0,31,0,0
A,Block 1,b,Site 2,Transect 3,2000,26,0,21,0
A,Block 1,b,Site 2,Transect 3,2001,0,0,22,0
A,Block 1,b,Site 2,Transect 3,2002,NA,28,22,4
A,Block 1,b,Site 2,Transect 3,2003,29,23,26,6
A,Block 1,b,Site 2,Transect 3,2004,26,0,25,0
A,Block 1,b,Site 2,Transect 3,2005,24,0,37,0
A,Block 1,b,Site 2,Transect 3,2006,0,0,23,0
A,Block 1,b,Site 2,Transect 3,2007,0,38,19,0
A,Block 1,b,Site 2,Transect 3,2008,0,32,0,0
A,Block 1,b,Site 2,Transect 3,2009,0,0,20,0
A,Block 1,b,Site 2,Transect 3,2010,41,41,14,0
A,Block 1,b,Site 2,Transect 3,2011,29,25,0,0
A,Block 1,b,Site 2,Transect 3,2012,0,0,18,0
A,Block 1,b,Site 2,Transect 3,2013,43,0,25,0
A,Block 1,b,Site 2,Transect 3,2014,43,0,24,1
A,Block 2,a,Site 1,Transect 1,2000,0,0,35,2
A,Block 2,a,Site 1,Transect 1,2001,16,0,49,0
A,Block 2,a,Site 1,Transect 1,2002,0,17,32,0
A,Block 2,a,Site 1,Transect 1,2003,0,0,50,0
A,Block 2,a,Site 1,Transect 1,2004,7,4,52,1
A,Block 2,a,Site 1,Transect 1,2005,1,0,55,0
A,Block 2,a,Site 1,Transect 1,2006,0,4,NA,0
A,Block 2,a,Site 1,Transect 1,2007,3,7,47,2
A,Block 2,a,Site 1,Transect 1,2008,7,0,54,0
A,Block 2,a,Site 1,Transect 1,2009,15,0,41,0
A,Block 2,a,Site 1,Transect 1,2010,0,0,0,0
A,Block 2,a,Site 1,Transect 1,2011,10,8,41,0
A,Block 2,a,Site 1,Transect 1,2012,7,0,43,1
A,Block 2,a,Site 1,Transect 1,2013,0,0,41,0
A,Block 2,a,Site 1,Transect 1,2014,0,0,49,0
A,Block 2,a,Site 1,Transect 2,2000,0,0,0,2
A,Block 2,a,Site 1,Transect 2,2001,11,0,0,0
A,Block 2,a,Site 1,Transect 2,2002,19,0,44,2
A,Block 2,a,Site 1,Transect 2,2003,9,0,53,0
A,Block 2,a,Site 1,Transect 2,2004,7,10,43,0
A,Block 2,a,Site 1,Transect 2,2005,0,3,62,0
A,Block 2,a,Site 1,Transect 2,2006,4,0,0,0
A,Block 2,a,Site 1,Transect 2,2007,0,0,0,0
A,Block 2,a,Site 1,Transect 2,2008,0,0,48,1
A,Block 2,a,Site 1,Transect 2,2009,16,0,38,3
A,Block 2,a,Site 1,Transect 2,2010,9,0,46,1
A,Block 2,a,Site 1,Transect 2,2011,0,0,56,0
A,Block 2,a,Site 1,Transect 2,2012,10,0,0,0
A,Block 2,a,Site 1,Transect 2,2013,10,0,50,1
A,Block 2,a,Site 1,Transect 2,2014,14,4,65,0
A,Block 2,a,Site 1,Transect 3,2000,10,0,50,0
A,Block 2,a,Site 1,Transect 3,2001,0,0,44,0
A,Block 2,a,Site 1,Transect 3,2002,6,7,45,0
A,Block 2,a,Site 1,Transect 3,2003,0,0,0,0
A,Block 2,a,Site 1,Transect 3,2004,0,0,59,0
A,Block 2,a,Site 1,Transect 3,2005,0,0,64,0
A,Block 2,a,Site 1,Transect 3,2006,0,0,49,0
A,Block 2,a,Site 1,Transect 3,2007,5,0,0,0
A,Block 2,a,Site 1,Transect 3,2008,3,0,56,1
A,Block 2,a,Site 1,Transect 3,2009,0,8,0,0
A,Block 2,a,Site 1,Transect 3,2010,8,9,52,0
A,Block 2,a,Site 1,Transect 3,2011,0,0,46,0
A,Block 2,a,Site 1,Transect 3,2012,3,2,0,0
A,Block 2,a,Site 1,Transect 3,2013,6,0,59,0
A,Block 2,a,Site 1,Transect 3,2014,0,0,59,1
A,Block 2,a,Site 2,Transect 1,2000,0,0,0,8
A,Block 2,a,Site 2,Transect 1,2001,28,23,0,0
A,Block 2,a,Site 2,Transect 1,2002,24,0,42,0
A,Block 2,a,Site 2,Transect 1,2003,25,0,29,1
A,Block 2,a,Site 2,Transect 1,2004,0,0,36,3
A,Block 2,a,Site 2,Transect 1,2005,0,0,55,0
A,Block 2,a,Site 2,Transect 1,2006,21,0,39,0
A,Block 2,a,Site 2,Transect 1,2007,0,0,37,1
A,Block 2,a,Site 2,Transect 1,2008,0,28,43,3
A,Block 2,a,Site 2,Transect 1,2009,0,0,40,0
A,Block 2,a,Site 2,Transect 1,2010,0,0,30,0
A,Block 2,a,Site 2,Transect 1,2011,24,0,36,0
A,Block 2,a,Site 2,Transect 1,2012,15,0,0,0
A,Block 2,a,Site 2,Transect 1,2013,0,0,37,0
A,Block 2,a,Site 2,Transect 1,2014,13,0,38,1
A,Block 2,a,Site 2,Transect 2,2000,53,0,7,0
A,Block 2,a,Site 2,Transect 2,2001,0,47,0,0
A,Block 2,a,Site 2,Transect 2,2002,0,0,11,4
A,Block 2,a,Site 2,Transect 2,2003,0,0,18,0
A,Block 2,a,Site 2,Transect 2,2004,31,36,16,0
A,Block 2,a,Site 2,Transect 2,2005,33,20,0,0
A,Block 2,a,Site 2,Transect 2,2006,35,30,10,4
A,Block 2,a,Site 2,Transect 2,2007,0,46,18,0
A,Block 2,a,Site 2,Transect 2,2008,0,30,0,0
A,Block 2,a,Site 2,Transect 2,2009,48,0,0,0
A,Block 2,a,Site 2,Transect 2,2010,0,0,0,4
A,Block 2,a,Site 2,Transect 2,2011,0,0,12,0
A,Block 2,a,Site 2,Transect 2,2012,47,46,0,0
A,Block 2,a,Site 2,Transect 2,2013,0,0,10,NA
A,Block 2,a,Site 2,Transect 2,2014,0,0,15,4
A,Block 2,a,Site 2,Transect 3,2000,0,0,36,3
A,Block 2,a,Site 2,Transect 3,2001,0,0,42,0
A,Block 2,a,Site 2,Transect 3,2002,0,0,33,0
A,Block 2,a,Site 2,Transect 3,2003,0,27,34,0
A,Block 2,a,Site 2,Transect 3,2004,15,0,0,2
A,Block 2,a,Site 2,Transect 3,2005,10,0,53,2
A,Block 2,a,Site 2,Transect 3,2006,0,0,42,0
A,Block 2,a,Site 2,Transect 3,2007,0,18,0,2
A,Block 2,a,Site 2,Transect 3,2008,17,0,44,0
A,Block 2,a,Site 2,Transect 3,2009,0,0,48,0
A,Block 2,a,Site 2,Transect 3,2010,18,0,26,0
A,Block 2,a,Site 2,Transect 3,2011,0,25,39,0
A,Block 2,a,Site 2,Transect 3,2012,18,14,45,0
A,Block 2,a,Site 2,Transect 3,2013,0,21,47,0
A,Block 2,a,Site 2,Transect 3,2014,23,22,43,0
A,Block 2,b,Site 1,Transect 1,2000,0,11,32,0
A,Block 2,b,Site 1,Transect 1,2001,9,16,41,0
A,Block 2,b,Site 1,Transect 1,2002,10,0,50,0
A,Block 2,b,Site 1,Transect 1,2003,6,0,43,1
A,Block 2,b,Site 1,Transect 1,2004,7,0,48,0
A,Block 2,b,Site 1,Transect 1,2005,7,0,40,0
A,Block 2,b,Site 1,Transect 1,2006,26,0,40,0
A,Block 2,b,Site 1,Transect 1,2007,0,0,35,2
A,Block 2,b,Site 1,Transect 1,2008,0,0,38,0
A,Block 2,b,Site 1,Transect 1,2009,21,19,29,1
A,Block 2,b,Site 1,Transect 1,2010,22,0,26,0
A,Block 2,b,Site 1,Transect 1,2011,0,9,40,0
A,Block 2,b,Site 1,Transect 1,2012,19,22,43,2
A,Block 2,b,Site 1,Transect 1,2013,21,20,30,0
A,Block 2,b,Site 1,Transect 1,2014,0,0,32,0
A,Block 2,b,Site 1,Transect 2,2000,0,0,36,0
A,Block 2,b,Site 1,Transect 2,2001,19,11,39,0
A,Block 2,b,Site 1,Transect 2,2002,0,13,38,3
A,Block 2,b,Site 1,Transect 2,2003,3,0,47,0
A,Block 2,b,Site 1,Transect 2,2004,0,6,47,0
A,Block 2,b,Site 1,Transect 2,2005,0,0,42,0
A,Block 2,b,Site 1,Transect 2,2006,0,0,32,0
A,Block 2,b,Site 1,Transect 2,2007,0,26,28,3
A,Block 2,b,Site 1,Transect 2,2008,25,20,48,0
A,Block 2,b,Site 1,Transect 2,2009,18,23,33,0
A,Block 2,b,Site 1,Transect 2,2010,0,0,28,0
A,Block 2,b,Site 1,Transect 2,2011,18,24,29,0
A,Block 2,b,Site 1,Transect 2,2012,0,0,35,0
A,Block 2,b,Site 1,Transect 2,2013,20,20,43,4
A,Block 2,b,Site 1,Transect 2,2014,0,18,0,0
A,Block 2,b,Site 1,Transect 3,2000,0,5,52,0
A,Block 2,b,Site 1,Transect 3,2001,0,0,47,0
A,Block 2,b,Site 1,Transect 3,2002,0,0,60,0
A,Block 2,b,Site 1,Transect 3,2003,2,4,0,0
A,Block 2,b,Site 1,Transect 3,2004,2,1,69,0
A,Block 2,b,Site 1,Transect 3,2005,3,0,0,0
A,Block 2,b,Site 1,Transect 3,2006,7,0,0,1
A,Block 2,b,Site 1,Transect 3,2007,13,0,43,0
A,Block 2,b,Site 1,Transect 3,2008,7,0,35,1
A,Block 2,b,Site 1,Transect 3,2009,0,17,41,0
A,Block 2,b,Site 1,Transect 3,2010,0,21,53,2
A,Block 2,b,Site 1,Transect 3,2011,14,17,0,1
A,Block 2,b,Site 1,Transect 3,2012,12,11,41,0
A,Block 2,b,Site 1,Transect 3,2013,13,0,NA,1
A,Block 2,b,Site 1,Transect 3,2014,12,16,46,0
A,Block 2,b,Site 2,Transect 1,2000,26,0,37,0
A,Block 2,b,Site 2,Transect 1,2001,21,0,0,1
A,Block 2,b,Site 2,Transect 1,2002,0,19,0,0
A,Block 2,b,Site 2,Transect 1,2003,19,0,33,0
A,Block 2,b,Site 2,Transect 1,2004,21,0,30,0
A,Block 2,b,Site 2,Transect 1,2005,22,19,29,2
A,Block 2,b,Site 2,Transect 1,2006,0,27,28,5
A,Block 2,b,Site 2,Transect 1,2007,0,38,17,NA
A,Block 2,b,Site 2,Transect 1,2008,33,35,29,0
A,Block 2,b,Site 2,Transect 1,2009,0,0,21,0
A,Block 2,b,Site 2,Transect 1,2010,0,38,19,0
A,Block 2,b,Site 2,Transect 1,2011,0,0,26,0
A,Block 2,b,Site 2,Transect 1,2012,19,0,19,0
A,Block 2,b,Site 2,Transect 1,2013,0,30,31,0
A,Block 2,b,Site 2,Transect 1,2014,0,0,17,5
A,Block 2,b,Site 2,Transect 2,2000,54,50,8,0
A,Block 2,b,Site 2,Transect 2,2001,49,0,10,0
A,Block 2,b,Site 2,Transect 2,2002,40,0,0,5
A,Block 2,b,Site 2,Transect 2,2003,38,0,0,0
A,Block 2,b,Site 2,Transect 2,2004,36,46,8,0
A,Block 2,b,Site 2,Transect 2,2005,38,0,0,4
A,Block 2,b,Site 2,Transect 2,2006,57,0,5,4
A,Block 2,b,Site 2,Transect 2,2007,59,0,0,5
A,Block 2,b,Site 2,Transect 2,2008,44,0,1,8
A,Block 2,b,Site 2,Transect 2,2009,0,56,0,0
A,Block 2,b,Site 2,Transect 2,2010,57,0,0,0
A,Block 2,b,Site 2,Transect 2,2011,45,52,NA,7
A,Block 2,b,Site 2,Transect 2,2012,42,60,6,0
A,Block 2,b,Site 2,Transect 2,2013,54,0,1,8
A,Block 2,b,Site 2,Transect 2,2014,64,0,1,0
A,Block 2,b,Site 2,Transect 3,2000,25,29,41,0
A,Block 2,b,Site 2,Transect 3,2001,29,0,33,2
A,Block 2,b,Site 2,Transect 3,2002,20,0,26,4
A,Block 2,b,Site 2,Transect 3,2003,14,0,29,1
A,Block 2,b,Site 2,Transect 3,2004,14,18,37,0
A,Block 2,b,Site 2,Transect 3,2005,0,0,0,0
A,Block 2,b,Site 2,Transect 3,2006,23,30,22,0
A,Block 2,b,Site 2,Transect 3,2007,0,0,25,0
A,Block 2,b,Site 2,Transect 3,2008,31,0,0,0
A,Block 2,b,Site 2,Transect 3,2009,38,21,15,0
A,Block 2,b,Site 2,Transect 3,2010,0,0,0,0
A,Block 2,b,Site 2,Transect 3,2011,0,0,30,1
A,Block 2,b,Site 2,Transect 3,2012,0,0,30,2
A,Block 2,b,Site 2,Transect 3,2013,36,31,0,1
A,Block 2,b,Site 2,Transect 3,2014,0,34,23,0
A,Block 3,a,Site 1,Transect 1,2000,27,0,0,7
A,Block 3,a,Site 1,Transect 1,2001,31,27,0,4
A,Block 3,a,Site 1,Transect 1,2002,20,12,0,0
A,Block 3,a,Site 1,Transect 1,2003,0,23,29,3
A,Block 3,a,Site 1,Transect 1,2004,0,20,40,0
A,Block 3,a,Site 1,Transect 1,2005,10,0,42,2
A,Block 3,a,Site 1,Transect 1,2006,NA,0,27,0
A,Block 3,a,Site 1,Transect 1,2007,23,25,34,0
A,Block 3,a,Site 1,Transect 1,2008,17,20,32,0
A,Block 3,a,Site 1,Transect 1,2009,22,25,34,8
A,Block 3,a,Site 1,Transect 1,2010,26,19,23,4
A,Block 3,a,Site 1,Transect 1,2011,27,0,38,7
A,Block 3,a,Site 1,Transect 1,2012,18,18,33,0
A,Block 3,a,Site 1,Transect 1,2013,24,0,32,3
A,Block 3,a,Site 1,Transect 1,2014,22,22,0,0
A,Block 3,a,Site 1,Transect 2,2000,12,11,42,1
A,Block 3,a,Site 1,Transect 2,2001,19,0,0,0
A,Block 3,a,Site 1,Transect 2,2002,12,13,48,0
A,Block 3,a,Site 1,Transect 2,2003,11,0,40,0
A,Block 3,a,Site 1,Transect 2,2004,0,0,43,0
A,Block 3,a,Site 1,Transect 2,2005,0,0,49,0
A,Block 3,a,Site 1,Transect 2,2006,0,0,46,0
A,Block 3,a,Site 1,Transect 2,2007,0,0,55,1
A,Block 3,a,Site 1,Transect 2,2008,0,12,0,1
A,Block 3,a,Site 1,Transect 2,2009,8,20,33,1
A,Block 3,a,Site 1,Transect 2,2010,0,0,34,0
A,Block 3,a,Site 1,Transect 2,2011,12,10,41,1
A,Block 3,a,Site 1,Transect 2,2012,9,0,35,0
A,Block 3,a,Site 1,Transect 2,2013,20,0,0,0
A,Block 3,a,Site 1,Transect 2,2014,5,10,48,0
A,Block 3,a,Site 1,Transect 3,2000,45,0,14,3
A,Block 3,a,Site 1,Transect 3,2001,0,0,17,4
A,Block 3,a,Site 1,Transect 3,2002,0,0,29,5
A,Block 3,a,Site 1,Transect 3,2003,39,46,38,2
A,Block 3,a,Site 1,Transect 3,2004,0,26,19,2
A,Block 3,a,Site 1,Transect 3,2005,0,0,0,0
A,Block 3,a,Site 1,Transect 3,2006,33,0,23,3
A,Block 3,a,Site 1,Transect 3,2007,0,30,25,0
A,Block 3,a,Site 1,Transect 3,2008,24,0,0,0
A,Block 3,a,Site 1,Transect 3,2009,43,39,0,4
A,Block 3,a,Site 1,Transect 3,2010,49,36,19,0
A,Block 3,a,Site 1,Transect 3,2011,26,0,17,0
A,Block 3,a,Site 1,Transect 3,2012,0,0,29,0
A,Block 3,a,Site 1,Transect 3,2013,0,0,16,0
A,Block 3,a,Site 1,Transect 3,2014,0,0,27,4
A,Block 3,a,Site 2,Transect 1,2000,0,27,34,0
A,Block 3,a,Site 2,Transect 1,2001,16,0,42,5
A,Block 3,a,Site 2,Transect 1,2002,0,0,0,0
A,Block 3,a,Site 2,Transect 1,2003,0,12,0,1
A,Block 3,a,Site 2,Transect 1,2004,5,0,42,0
A,Block 3,a,Site 2,Transect 1,2005,4,12,47,0
A,Block 3,a,Site 2,Transect 1,2006,19,10,49,0
A,Block 3,a,Site 2,Transect 1,2007,0,13,46,0
A,Block 3,a,Site 2,Transect 1,2008,0,0,0,0
A,Block 3,a,Site 2,Transect 1,2009,0,0,0,0
A,Block 3,a,Site 2,Transect 1,2010,20,0,36,0
A,Block 3,a,Site 2,Transect 1,2011,15,0,39,0
A,Block 3,a,Site 2,Transect 1,2012,0,9,47,2
A,Block 3,a,Site 2,Transect 1,2013,0,0,45,0
A,Block 3,a,Site 2,Transect 1,2014,0,15,43,0
A,Block 3,a,Site 2,Transect 2,2000,12,17,44,1
A,Block 3,a,Site 2,Transect 2,2001,17,0,46,0
A,Block 3,a,Site 2,Transect 2,2002,0,11,33,0
A,Block 3,a,Site 2,Transect 2,2003,0,0,40,0
A,Block 3,a,Site 2,Transect 2,2004,6,3,42,0
A,Block 3,a,Site 2,Transect 2,2005,0,0,57,0
A,Block 3,a,Site 2,Transect 2,2006,9,11,56,0
A,Block 3,a,Site 2,Transect 2,2007,9,0,0,0
A,Block 3,a,Site 2,Transect 2,2008,3,7,48,1
A,Block 3,a,Site 2,Transect 2,2009,10,0,31,2
A,Block 3,a,Site 2,Transect 2,2010,0,0,40,1
A,Block 3,a,Site 2,Transect 2,2011,10,0,36,0
A,Block 3,a,Site 2,Transect 2,2012,5,0,0,0
A,Block 3,a,Site 2,Transect 2,2013,12,18,0,0
A,Block 3,a,Site 2,Transect 2,2014,0,0,62,0
A,Block 3,a,Site 2,Transect 3,2000,0,0,0,3
A,Block 3,a,Site 2,Transect 3,2001,32,32,23,0
A,Block 3,a,Site 2,Transect 3,2002,0,0,33,0
A,Block 3,a,Site 2,Transect 3,2003,22,28,0,0
A,Block 3,a,Site 2,Transect 3,2004,0,0,36,0
A,Block 3,a,Site 2,Transect 3,2005,0,0,47,2
A,Block 3,a,Site 2,Transect 3,2006,0,0,32,0
A,Block 3,a,Site 2,Transect 3,2007,23,0,25,0
A,Block 3,a,Site 2,Transect 3,2008,12,0,37,0
A,Block 3,a,Site 2,Transect 3,2009,22,0,26,1
A,Block 3,a,Site 2,Transect 3,2010,26,29,30,0
A,Block 3,a,Site 2,Transect 3,2011,0,0,27,0
A,Block 3,a,Site 2,Transect 3,2012,27,0,28,0
